Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,1/1/2023,CUST180,Male,41.0,Clothing,3,300,900
2,1/1/2023,CUST522,Male,46.0,Beauty,3,500,1500
3,1/1/2023,CUST559,Female,40.0,Clothing,4,300,1200
4,2/1/2023,CUST163,Female,64.0,Clothing,3,50,150
5,2/1/2023,CUST303,Male,19.0,Electronics,3,30,90
6,2/1/2023,CUST421,Female,37.0,Clothing,3,500,1500
7,2/1/2023,CUST979,Female,19.0,Beauty,1,25,25
8,3/1/2023,CUST610,Female,26.0,Beauty,2,300,600
9,4/1/2023,CUST032,Male,30.0,Beauty,3,30,90
10,4/1/2023,CUST231,Female,23.0,Clothing,3,50,150
11,4/1/2023,CUST683,Male,38.0,Beauty,2,500,1000
12,5/1/2023,CUST367,Female,57.0,Electronics,1,50,50
13,5/1/2023,CUST391,Male,19.0,Beauty,2,25,50
14,5/1/2023,CUST432,Female,60.0,Electronics,2,500,1000
15,6/1/2023,CUST150,Female,58.0,Electronics,4,30,120
16,6/1/2023,CUST845,Male,54.0,Clothing,1,500,500
17,7/1/2023,CUST797,Male,40.0,Clothing,3,25,75
18,7/1/2023,CUST921,Male,51.0,Electronics,3,25,75
19,8/1/2023,CUST291,Male,60.0,Clothing,2,300,600
20,8/1/2023,CUST907,Female,45.0,Electronics,1,25,25
21,9/1/2023,CUST860,Male,63.0,Clothing,4,50,200
22,10/1/2023,CUST184,Male,31.0,Electronics,4,50,200
23,10/1/2023,CUST734,Female,27.0,Clothing,1,30,30
24,11/1/2023,CUST225,Female,57.0,Beauty,4,25,100
25,11/1/2023,CUST679,Female,18.0,Beauty,3,30,90
26,11/1/2023,CUST746,Female,33.0,Clothing,3,30,90
27,1/13/2023,CUST003,Male,50.0,Electronics,1,30,30
28,1/13/2023,CUST464,Male,38.0,Electronics,2,300,600
29,1/13/2023,CUST484,Female,19.0,Clothing,4,300,1200
30,1/13/2023,CUST591,Male,53.0,Electronics,4,25,100
31,1/14/2023,CUST021,Female,50.0,Beauty,1,500,500
32,1/14/2023,CUST708,Female,43.0,Beauty,3,300,900
33,1/14/2023,CUST713,Male,34.0,Beauty,3,25,75
34,1/14/2023,CUST768,Female,24.0,Beauty,3,25,75
35,1/15/2023,CUST499,Male,46.0,Beauty,2,30,60
36,1/15/2023,CUST697,Male,53.0,Clothing,1,500,500
37,1/15/2023,CUST831,Male,27.0,Electronics,4,25,100
38,1/16/2023,CUST015,Female,42.0,Electronics,4,500,2000
39,1/16/2023,CUST743,Female,34.0,Beauty,4,500,2000
40,1/17/2023,CUST014,Male,64.0,Clothing,4,30,120
41,1/17/2023,CUST103,Female,59.0,Clothing,1,25,25
42,1/17/2023,CUST238,Female,39.0,Beauty,1,500,500
43,1/17/2023,CUST986,Female,49.0,Clothing,2,500,1000
44,1/19/2023,CUST438,Female,42.0,Clothing,1,30,30
45,1/20/2023,CUST475,Male,26.0,Clothing,3,25,75
46,1/20/2023,CUST505,Male,24.0,Beauty,1,50,50
47,1/21/2023,CUST344,Female,42.0,Beauty,1,30,30
48,1/21/2023,CUST448,Female,54.0,Beauty,2,30,60
49,1/21/2023,CUST742,Female,38.0,Electronics,4,500,2000
50,1/22/2023,CUST445,Female,53.0,Electronics,1,300,300
51,1/22/2023,CUST787,Male,41.0,Electronics,1,25,25
52,1/23/2023,CUST049,Female,54.0,Electronics,2,500,1000
53,1/23/2023,CUST420,Female,22.0,Clothing,4,500,2000
54,1/23/2023,CUST519,Female,36.0,Electronics,4,30,120
55,1/24/2023,CUST064,Male,49.0,Clothing,4,25,100
56,1/24/2023,CUST592,Female,46.0,Beauty,4,500,2000
57,1/24/2023,CUST912,Male,51.0,Beauty,3,50,150
58,1/25/2023,CUST134,Male,49.0,Electronics,1,50,50
59,1/26/2023,CUST288,Male,28.0,Clothing,4,30,120
60,1/26/2023,CUST323,Female,29.0,Beauty,3,300,900
61,1/26/2023,CUST618,Female,27.0,Beauty,1,50,50
62,1/26/2023,CUST720,Female,56.0,Beauty,5,500,2500
63,1/27/2023,CUST415,Male,53.0,Clothing,2,30,60
64,1/27/2023,CUST736,Male,29.0,Clothing,4,25,100
65,1/27/2023,CUST929,Female,23.0,Beauty,3,25,75
66,1/28/2023,CUST264,Male,47.0,Clothing,3,300,900
67,1/28/2023,CUST913,Male,29.0,Electronics,3,30,90
68,1/28/2023,CUST940,Female,20.0,Electronics,1,30,30
69,1/29/2023,CUST101,Male,32.0,Clothing,2,300,600
70,1/30/2023,CUST189,Male,63.0,Beauty,1,50,50
71,1/30/2023,CUST317,Male,22.0,Electronics,3,30,90
72,1/30/2023,CUST322,Male,51.0,Electronics,1,500,500
73,1/30/2023,CUST329,Female,46.0,Electronics,4,25,100
74,1/31/2023,CUST235,Female,23.0,Electronics,2,500,1000
75,1/31/2023,CUST300,Female,19.0,Electronics,4,50,200
76,1/31/2023,CUST964,Male,24.0,Clothing,3,300,900
77,1/2/2023,CUST269,Male,25.0,Clothing,4,500,2000
78,1/2/2023,CUST320,Female,28.0,Electronics,4,300,1200
79,1/2/2023,CUST673,Female,43.0,Clothing,3,500,1500
80,2/2/2023,CUST142,Male,35.0,Electronics,4,300,1200
81,2/2/2023,CUST223,Female,64.0,Clothing,1,25,25
82,2/2/2023,CUST666,Male,51.0,Electronics,3,50,150
83,3/2/2023,CUST107,Female,21.0,Clothing,4,300,1200
84,3/2/2023,CUST933,Male,22.0,Beauty,1,30,30
85,4/2/2023,CUST237,Female,50.0,Beauty,2,500,1000
86,4/2/2023,CUST335,Female,47.0,Beauty,4,30,120
87,5/2/2023,CUST063,Male,57.0,Electronics,2,25,50
88,5/2/2023,CUST195,Male,52.0,Clothing,1,30,30
89,5/2/2023,CUST333,Female,54.0,Electronics,4,300,1200
90,5/2/2023,CUST379,Female,47.0,Clothing,1,25,25
91,5/2/2023,CUST490,Male,34.0,Clothing,3,50,150
92,5/2/2023,CUST530,Female,18.0,Electronics,4,30,120
93,5/2/2023,CUST740,Female,25.0,Beauty,4,50,200
94,5/2/2023,CUST793,Male,54.0,Beauty,1,30,30
95,6/2/2023,CUST085,Male,31.0,Clothing,3,50,150
96,6/2/2023,CUST232,Female,43.0,Beauty,1,25,25
97,6/2/2023,CUST240,Female,23.0,Beauty,1,300,300
98,6/2/2023,CUST993,Female,48.0,Electronics,3,50,150
99,7/2/2023,CUST366,Male,57.0,Clothing,2,50,100
100,7/2/2023,CUST372,Female,24.0,Beauty,3,500,1500
101,7/2/2023,CUST596,Female,64.0,Electronics,1,300,300
102,7/2/2023,CUST936,Male,57.0,Beauty,4,50,200
103,8/2/2023,CUST284,Male,43.0,Clothing,4,50,200
104,8/2/2023,CUST434,Female,43.0,Electronics,2,25,50
105,8/2/2023,CUST775,Female,46.0,Electronics,4,25,100
106,8/2/2023,CUST977,Female,35.0,Electronics,3,25,75
107,9/2/2023,CUST649,Female,58.0,Clothing,2,300,600
108,10/2/2023,CUST054,Female,38.0,Electronics,3,500,1500
109,10/2/2023,CUST068,Male,25.0,Electronics,1,300,300
110,10/2/2023,CUST192,Male,62.0,Beauty,2,50,100
111,11/2/2023,CUST331,Male,28.0,Electronics,3,30,90
112,11/2/2023,CUST346,Male,59.0,Clothing,2,500,1000
113,11/2/2023,CUST657,Male,40.0,Clothing,1,25,25
114,11/2/2023,CUST732,Male,61.0,Electronics,2,500,1000
115,11/2/2023,CUST972,Male,49.0,Beauty,4,25,100
116,12/2/2023,CUST714,Female,18.0,Clothing,1,500,500
117,2/13/2023,CUST193,Male,35.0,Beauty,3,500,1500
118,2/13/2023,CUST577,Male,21.0,Beauty,4,500,2000
119,2/13/2023,CUST848,Female,63.0,Clothing,3,25,75
120,2/13/2023,CUST945,Male,30.0,Beauty,1,25,25
121,2/14/2023,CUST011,Male,23.0,Clothing,2,50,100
122,2/14/2023,CUST821,Male,49.0,Electronics,1,300,300
123,2/16/2023,CUST133,Male,20.0,Electronics,3,300,900
124,2/17/2023,CUST016,Male,19.0,Clothing,3,500,1500
125,2/17/2023,CUST042,Male,22.0,Clothing,3,300,900
126,2/17/2023,CUST292,Male,20.0,Beauty,4,300,1200
127,2/17/2023,CUST416,Male,53.0,Electronics,4,500,2000
128,2/17/2023,CUST584,Female,27.0,Beauty,4,50,200
129,2/17/2023,CUST861,Female,41.0,Clothing,3,30,90
130,2/18/2023,CUST256,Male,23.0,Clothing,2,500,1000
131,2/19/2023,CUST044,Female,22.0,Clothing,1,25,25
132,2/19/2023,CUST257,Male,19.0,Beauty,4,500,2000
133,2/20/2023,CUST268,Female,28.0,Electronics,1,30,30
